,Departure date,Return date,Nights Count,Departure from,Departure to,Departure air company,Departure duration,Return from,Return to,Return air company,Return duration,Price
66,Fri 11 Aug,Wed 16 Aug,5,"06:10 Belgrade Belgrade Nikola Tesla
(BEG)","07:45 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,106 €
67,Fri 30 Jun,Wed 5 Jul,5,"06:10 Belgrade Belgrade Nikola Tesla
(BEG)","07:45 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,110 €
68,Mon 10 Jul,Sun 16 Jul,6,"06:10 Belgrade Belgrade Nikola Tesla
(BEG)","07:45 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:25 Rome Ciampino–G. B. Pastine International
(CIA)","10:00 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,113 €
69,Sun 23 Jul,Fri 28 Jul,5,"06:15 Belgrade Belgrade Nikola Tesla
(BEG)","07:50 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,114 €
70,Sun 9 Jul,Fri 14 Jul,5,"06:15 Belgrade Belgrade Nikola Tesla
(BEG)","07:50 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,116 €
71,Sun 20 Aug,Fri 25 Aug,5,"06:15 Belgrade Belgrade Nikola Tesla
(BEG)","07:50 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,118 €
72,Fri 28 Jul,Wed 2 Aug,5,"06:10 Belgrade Belgrade Nikola Tesla
(BEG)","07:45 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,119 €
73,Wed 7 Jun,Mon 12 Jun,5,"06:10 Belgrade Belgrade Nikola Tesla
(BEG)","07:45 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,120 €
74,Thu 27 Jul,Wed 2 Aug,6,"12:50 Belgrade Belgrade Nikola Tesla
(BEG)","14:25 Rome Leonardo da Vinci–Fiumicino Airport
(FCO)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,120 €
75,Wed 14 Jun,Mon 19 Jun,5,"06:10 Belgrade Belgrade Nikola Tesla
(BEG)","07:45 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,121 €
76,Thu 14 Sep,Tue 19 Sep,5,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,126 €
77,Thu 14 Sep,Tue 19 Sep,5,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,126 €
78,Thu 5 Oct,Tue 10 Oct,5,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,132 €
79,Thu 5 Oct,Tue 10 Oct,5,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,132 €
80,Tue 17 Oct,Sun 22 Oct,5,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"15:00 Zürich Zürich Airport
(ZRH)","16:40 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,135 €
81,Thu 14 Sep,Tue 19 Sep,5,"18:05 Belgrade Belgrade Nikola Tesla
(BEG)","20:00 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,135 €
82,Wed 13 Sep,Tue 19 Sep,6,"18:00 Belgrade Belgrade Nikola Tesla
(BEG)","19:55 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,135 €
83,Wed 13 Sep,Tue 19 Sep,6,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,135 €
84,Thu 12 Oct,Tue 17 Oct,5,"18:05 Belgrade Belgrade Nikola Tesla
(BEG)","20:00 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"21:15 Zürich Zürich Airport
(ZRH)","22:55 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,137 €
85,Thu 28 Sep,Tue 3 Oct,5,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"15:20 Zürich Zürich Airport
(ZRH)","17:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,137 €
86,Thu 12 Oct,Tue 17 Oct,5,"18:05 Belgrade Belgrade Nikola Tesla
(BEG)","20:00 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"15:20 Zürich Zürich Airport
(ZRH)","17:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,137 €
87,Thu 28 Sep,Tue 3 Oct,5,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"15:20 Zürich Zürich Airport
(ZRH)","17:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,137 €
88,Tue 6 Jun,Mon 12 Jun,6,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"20:45 Zürich Zürich Airport
(ZRH)","22:25 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,137 €
89,Thu 12 Oct,Wed 18 Oct,6,"18:05 Belgrade Belgrade Nikola Tesla
(BEG)","20:00 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"20:45 Zürich Zürich Airport
(ZRH)","22:25 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,137 €
90,Thu 28 Sep,Tue 3 Oct,5,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"21:15 Zürich Zürich Airport
(ZRH)","22:55 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,137 €
91,Thu 28 Sep,Tue 3 Oct,5,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"21:15 Zürich Zürich Airport
(ZRH)","22:55 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,137 €
92,Wed 7 Jun,Mon 12 Jun,5,"06:50 Belgrade Belgrade Nikola Tesla
(BEG)","08:45 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"20:45 Zürich Zürich Airport
(ZRH)","22:25 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,137 €
93,Thu 5 Oct,Wed 11 Oct,6,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"15:20 Zürich Zürich Airport
(ZRH)","17:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,139 €
94,Thu 5 Oct,Tue 10 Oct,5,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"21:15 Zürich Zürich Airport
(ZRH)","22:55 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,139 €
95,Thu 5 Oct,Wed 11 Oct,6,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"15:20 Zürich Zürich Airport
(ZRH)","17:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,139 €
96,Thu 5 Oct,Tue 10 Oct,5,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"15:20 Zürich Zürich Airport
(ZRH)","17:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,139 €
97,Thu 5 Oct,Tue 10 Oct,5,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"15:20 Zürich Zürich Airport
(ZRH)","17:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,139 €
98,Thu 5 Oct,Tue 10 Oct,5,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"21:15 Zürich Zürich Airport
(ZRH)","22:55 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,139 €
99,Wed 4 Oct,Tue 10 Oct,6,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,140 €
100,Thu 5 Oct,Tue 10 Oct,5,"18:05 Belgrade Belgrade Nikola Tesla
(BEG)","20:00 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,140 €
101,Thu 14 Sep,Tue 19 Sep,5,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"21:15 Zürich Zürich Airport
(ZRH)","22:55 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,142 €
102,Thu 19 Oct,Wed 25 Oct,6,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:30 Zürich Zürich Airport
(ZRH)","11:10 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,142 €
103,Thu 19 Oct,Tue 24 Oct,5,"12:35 Belgrade Belgrade Nikola Tesla
(BEG)","14:30 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"21:15 Zürich Zürich Airport
(ZRH)","22:55 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,142 €
104,Thu 19 Oct,Tue 24 Oct,5,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"09:55 Zürich Zürich Airport
(ZRH)","11:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,142 €
105,Thu 14 Sep,Tue 19 Sep,5,"07:15 Belgrade Belgrade Nikola Tesla
(BEG)","09:10 Zürich Zürich Airport
(ZRH)",Air Serbia,1h 55m,"15:20 Zürich Zürich Airport
(ZRH)","17:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,142 €
106,Thu 17 Aug,Tue 22 Aug,5,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
107,Mon 24 Jul,Sun 30 Jul,6,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"17:10 Vienna Vienna International Airport
(VIE)","18:10 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
108,Thu 7 Sep,Tue 12 Sep,5,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
109,Mon 24 Jul,Sun 30 Jul,6,"18:40 Belgrade Belgrade Nikola Tesla
(BEG)","19:50 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"17:10 Vienna Vienna International Airport
(VIE)","18:10 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
110,Wed 16 Aug,Mon 21 Aug,5,"18:55 Belgrade Belgrade Nikola Tesla
(BEG)","20:05 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
111,Fri 18 Aug,Wed 23 Aug,5,"18:40 Belgrade Belgrade Nikola Tesla
(BEG)","19:50 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"17:10 Vienna Vienna International Airport
(VIE)","18:10 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
112,Sat 9 Sep,Fri 15 Sep,6,"18:40 Belgrade Belgrade Nikola Tesla
(BEG)","19:50 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
113,Sun 9 Jul,Sat 15 Jul,6,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
114,Mon 24 Jul,Sat 29 Jul,5,"11:05 Belgrade Belgrade Nikola Tesla
(BEG)","12:15 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
115,Mon 24 Jul,Sat 29 Jul,5,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
116,Mon 24 Jul,Sat 29 Jul,5,"18:40 Belgrade Belgrade Nikola Tesla
(BEG)","19:50 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
117,Sun 25 Jun,Fri 30 Jun,5,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
118,Sun 25 Jun,Fri 30 Jun,5,"11:05 Belgrade Belgrade Nikola Tesla
(BEG)","12:15 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
119,Wed 16 Aug,Tue 22 Aug,6,"11:05 Belgrade Belgrade Nikola Tesla
(BEG)","12:15 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
120,Mon 10 Jul,Sat 15 Jul,5,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
121,Wed 16 Aug,Tue 22 Aug,6,"18:55 Belgrade Belgrade Nikola Tesla
(BEG)","20:05 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
122,Sun 23 Jul,Fri 28 Jul,5,"11:05 Belgrade Belgrade Nikola Tesla
(BEG)","12:15 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
123,Mon 10 Jul,Sun 16 Jul,6,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"17:10 Vienna Vienna International Airport
(VIE)","18:10 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
124,Wed 16 Aug,Tue 22 Aug,6,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"16:55 Vienna Vienna International Airport
(VIE)","17:55 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
125,Sun 25 Jun,Sat 1 Jul,6,"11:05 Belgrade Belgrade Nikola Tesla
(BEG)","12:15 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"22:30 Vienna Vienna International Airport
(VIE)","23:35 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
126,Fri 21 Jul,Wed 26 Jul,5,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"22:30 Vienna Vienna International Airport
(VIE)","23:35 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
127,Sat 9 Sep,Thu 14 Sep,5,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"22:30 Vienna Vienna International Airport
(VIE)","23:35 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
128,Mon 10 Jul,Sat 15 Jul,5,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"09:20 Vienna Vienna International Airport
(VIE)","10:25 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
129,Sun 25 Jun,Fri 30 Jun,5,"11:05 Belgrade Belgrade Nikola Tesla
(BEG)","12:15 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"22:30 Vienna Vienna International Airport
(VIE)","23:35 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
130,Wed 9 Aug,Mon 14 Aug,5,"18:55 Belgrade Belgrade Nikola Tesla
(BEG)","20:05 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"09:20 Vienna Vienna International Airport
(VIE)","10:25 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
131,Wed 16 Aug,Tue 22 Aug,6,"07:00 Belgrade Belgrade Nikola Tesla
(BEG)","08:10 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"09:20 Vienna Vienna International Airport
(VIE)","10:25 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
132,Tue 19 Sep,Mon 25 Sep,6,"18:40 Belgrade Belgrade Nikola Tesla
(BEG)","19:50 Vienna Vienna International Airport
(VIE)",Austrian Airlines,1h 10m,"22:30 Vienna Vienna International Airport
(VIE)","23:35 Belgrade Belgrade Nikola Tesla
(BEG)",Austrian Airlines,1h 10m,146 €
