,Title,Author,Release date,Price $
0,Elon Musk,Walter Isaacson,09-12-23,33
1,Light Bringer,Pierce Brown,07-25-23,31
2,The Gift,Sebastian Fitzek,05-18-23,30
3,The Lion: Son of the Forest,Mike Brooks,04-22-23,33
4,Clue Krewe,Jana DeLeon,06-13-23,20
5,The Silmarillion,J. R. R. Tolkien,06-22-23,22
6,Technology Specs Book,Ricardo Navarrete Mendez,05-18-23,7
7,Technology Book Trend,Lumumba Shabazz,05-18-23,7
8,Shattersoul,Kyle Kirrin,06-02-23,30
9,Azarinth Healer: Book Two,Rhaegar,04-28-23,25
10,Runaway Love,Melanie Harlow,05-01-23,20
11,Cherry Picked,May Archer,05-16-23,20
12,Ward D,Freida McFadden,05-09-23,49
13,The Primal Hunter 5,Zogarth,05-17-23,25
14,10x Is Easier than 2x,Dan Sullivan,05-09-23,21
15,Blightslayer,Richard Strachan,05-20-23,33
16,Under the Stars,Laura Pavlov,05-18-23,20
17,Manhood,Josh Hawley,05-16-23,21
18,Waybound,Will Wight,06-06-23,30
19,Accidental Attachment,Max Monroe,05-01-23,25
20,The Ritual,Shantel Tessier,05-09-23,25
21,Revealed,D.I. Freed,05-16-23,30
22,The Worst Wedding Date,Pippa Grant,04-13-23,25
23,Meat Eater,Steven Rinella,04-25-23,28
24,Close Her Eyes,Lisa Regan,05-03-23,25
25,The Path of Ascension 3,C. Mantis,05-17-23,30
26,Homeworld Lost,J.N. Chaney,05-06-23,25
27,Dressed to Drill,Kate Carlisle,05-16-23,20
28,Defiant,Michael R. Miller,07-13-23,30
29,The Delphi Murders,Nic Edwards,04-20-23,20
30,As Seen on TV,Meredith Schorr,06-07-22,21
31,Glamoured,Jaymin Eve,05-05-23,20
32,The Postcard,Anne Berest,05-16-23,21
33,The Books of Ezekiel and Daniel: Visions of Glory,Simmons Brian,04-28-23,20
34,The Russo-Ukrainian War,Serhii Plokhy,05-16-23,35
35,Little Lost Dolls,M.M. Chouinard,05-04-23,25
36,Mile High,Liz Tomforde,04-25-23,24
37,A Fire in the Flesh,Jennifer L. Armentrout,10-31-23,33
38,The Unwanted Marriage,Catharina Maura,05-16-23,25
39,Way to the East,Kirill Klevanski,05-16-23,21
40,The Ritual,Shantel Tessier,05-09-23,25
41,Revealed,D.I. Freed,05-16-23,30
42,The Worst Wedding Date,Pippa Grant,04-13-23,25
43,Meat Eater,Steven Rinella,04-25-23,28
44,Close Her Eyes,Lisa Regan,05-03-23,25
45,The Path of Ascension 3,C. Mantis,05-17-23,30
46,Homeworld Lost,J.N. Chaney,05-06-23,25
47,Dressed to Drill,Kate Carlisle,05-16-23,20
48,Defiant,Michael R. Miller,07-13-23,30
49,The Delphi Murders,Nic Edwards,04-20-23,20
50,As Seen on TV,Meredith Schorr,06-07-22,21
51,Glamoured,Jaymin Eve,05-05-23,20
52,The Postcard,Anne Berest,05-16-23,21
53,The Books of Ezekiel and Daniel: Visions of Glory,Simmons Brian,04-28-23,20
54,The Russo-Ukrainian War,Serhii Plokhy,05-16-23,35
55,Little Lost Dolls,M.M. Chouinard,05-04-23,25
56,Mile High,Liz Tomforde,04-25-23,24
57,A Fire in the Flesh,Jennifer L. Armentrout,10-31-23,33
58,The Unwanted Marriage,Catharina Maura,05-16-23,25
59,Way to the East,Kirill Klevanski,05-16-23,21
60,Boundless Parenting,Ben Greenfield,04-28-23,30
61,Apocalypse Redux: Book Three,Jakob H. Greif,05-02-23,25
62,"One Nation Under Blackmail, Vol. 1",Whitney Alyse Webb,03-21-23,25
63,Tell-Tale Bones,Carolyn Haines,05-16-23,28
64,Heal Thyself for Health and Longevity,Queen Afua,04-25-23,20
65,Identity,Nora Roberts,05-23-23,31
66,Do You Believe?,Paul David Tripp,04-27-23,30
67,Pretty Dark Vows,Callie Rose,04-27-23,25
68,Distraction,Kelly Fox,05-16-23,20
69,The Pope’s Exorcist,Sophia Institute Press,04-26-23,7
70,Love Again (Movie Tie-In),Sofie Cramer,05-09-23,24
71,Prepared,Mike Glover,06-06-23,28
72,Dr. Perfect,Louise Bay,04-20-23,20
73,A Hypnotist’s Journey from the Trail to the Star People,Sarah Breskman Cosme,04-24-23,20
74,House of Pounding Hearts,Olivia Wildenstein,04-19-23,25
75,The Lost Task Force,Vaughn Heppner,04-25-23,25
76,Resist,Ava Harrison,05-15-23,25
77,The Olympian Affair,Jim Butcher,11-07-23,42
78,Chasing Love,Kat T. Masen,05-10-23,25
79,Dirty Crazy Bad,Siobhan Davis,05-12-23,25
80,Boundless Parenting,Ben Greenfield,04-28-23,30
81,Apocalypse Redux: Book Three,Jakob H. Greif,05-02-23,25
82,"One Nation Under Blackmail, Vol. 1",Whitney Alyse Webb,03-21-23,25
83,Tell-Tale Bones,Carolyn Haines,05-16-23,28
84,Heal Thyself for Health and Longevity,Queen Afua,04-25-23,20
85,Identity,Nora Roberts,05-23-23,31
86,Do You Believe?,Paul David Tripp,04-27-23,30
87,Pretty Dark Vows,Callie Rose,04-27-23,25
88,Distraction,Kelly Fox,05-16-23,20
89,The Pope’s Exorcist,Sophia Institute Press,04-26-23,7
90,Love Again (Movie Tie-In),Sofie Cramer,05-09-23,24
91,Prepared,Mike Glover,06-06-23,28
92,Dr. Perfect,Louise Bay,04-20-23,20
93,A Hypnotist’s Journey from the Trail to the Star People,Sarah Breskman Cosme,04-24-23,20
94,House of Pounding Hearts,Olivia Wildenstein,04-19-23,25
95,The Lost Task Force,Vaughn Heppner,04-25-23,25
96,Resist,Ava Harrison,05-15-23,25
97,The Olympian Affair,Jim Butcher,11-07-23,42
98,Chasing Love,Kat T. Masen,05-10-23,25
99,Dirty Crazy Bad,Siobhan Davis,05-12-23,25
100,Escaping Shadows,Kathleen Brooks,04-25-23,20
101,Emerita Boxing Day,Daniel Schinhofen,05-05-23,25
102,Murder at Abbeymead Farm,Merryn Allingham,05-16-23,20
103,The Power of Trees,Peter Wohlleben,05-02-23,24
104,Offside Hearts,Nikki Lawson,05-11-23,25
105,Them,Whitley Strieber,04-19-23,25
106,From the Grave,Kresley Cole,04-21-23,25
107,Marx Girl,T L Swan,05-11-23,25
108,Rise of the Weakest Summoner: Volume IV,J. R. Saileri,05-03-23,25
109,Deadline,Matthew Costello,04-30-23,5
110,False Truth,Helena Marchmont,05-19-23,5
111,Chapel Bend,Kristen Proby,05-16-23,20
112,Does It Hurt?,H. D. Carlton,03-20-23,25
113,The Magic of Sea Glass,Jenny Hale,05-09-23,49
114,False Start,Neve Wilder,05-19-23,20
115,The Greatness Mindset,Lewis Howes,04-04-23,20
116,Dial W for Witch,Amanda M. Lee,04-24-23,20
117,Strung,Per Jacobsen,04-25-23,20
118,Happily Married,Victoria Jenkins,05-11-23,20
119,From the World of Percy Jackson: Sun and the Star,Rick Riordan,05-02-23,20
120,Escaping Shadows,Kathleen Brooks,04-25-23,20
121,Emerita Boxing Day,Daniel Schinhofen,05-05-23,25
122,Murder at Abbeymead Farm,Merryn Allingham,05-16-23,20
123,The Power of Trees,Peter Wohlleben,05-02-23,24
124,Offside Hearts,Nikki Lawson,05-11-23,25
125,Them,Whitley Strieber,04-19-23,25
126,From the Grave,Kresley Cole,04-21-23,25
127,Marx Girl,T L Swan,05-11-23,25
128,Rise of the Weakest Summoner: Volume IV,J. R. Saileri,05-03-23,25
129,Deadline,Matthew Costello,04-30-23,5
130,False Truth,Helena Marchmont,05-19-23,5
131,Chapel Bend,Kristen Proby,05-16-23,20
132,Does It Hurt?,H. D. Carlton,03-20-23,25
133,The Magic of Sea Glass,Jenny Hale,05-09-23,49
134,False Start,Neve Wilder,05-19-23,20
135,The Greatness Mindset,Lewis Howes,04-04-23,20
136,Dial W for Witch,Amanda M. Lee,04-24-23,20
137,Strung,Per Jacobsen,04-25-23,20
138,Happily Married,Victoria Jenkins,05-11-23,20
139,From the World of Percy Jackson: Sun and the Star,Rick Riordan,05-02-23,20
140,Look Up!,Jimmy Evans,05-09-23,20
141,Creed,Kris Michaels,05-11-23,25
142,To Flail Against Infinity,J. P. Valentine,05-05-23,25
143,Awaken Your Multidimensional Soul,Lee Harris,04-19-23,20
144,The Scottish Ladies' Detective Agency,Lydia Travers,04-27-23,20
145,Book of Economics and Finance Business,Chad Diegle,05-08-23,7
146,Question and Answer: What Makes Us Healthy?,Bettye Fields Pearl,05-08-23,15
147,Unexpected Bliss,Lexi Blake,05-09-23,25
148,By a Silver Thread,Rachel Aaron,05-03-23,25
149,Our King: Charles III,Robert Jobson,04-13-23,40
150,Rapax Pax,Marc Alan Edelheit,05-01-23,30
151,The 16 Undeniable Laws of Communication,John Maxwell,03-28-23,21
152,Until I Get You,Claire Contreras,03-29-23,25
153,Why Women Deserve Less,Myron Gaines,03-29-23,7
154,Covert Ops,Traci Hunter Abramson,05-09-23,17
155,Murder of a Mermaid,Irina Shapiro,05-09-23,20
156,The Covenant of Water,Abraham Verghese,05-02-23,42
157,Dungeon Walkers 4,Daniel Schinhofen,05-02-23,25
158,The One for Me,Rachel Hanna,04-18-23,15
159,Psycho Academy,Jasmine Mas,04-13-23,25
160,The Gambler's Chase,Cap Daniels,04-17-23,20
161,Defying Logic,Nicky James,05-03-23,25
162,Cataclysm,Sarah Bailey,05-12-23,25
163,The Road to Vanador: A Spellmonger Anthology,Terry Mancour,07-25-23,55
164,Gates of Yog-Sothoth,John Corwin,05-03-23,25
165,Making It So,Patrick Stewart,10-03-23,28
166,Disarmed,Mark W. Smith,05-01-23,15
167,Edge of Steele,Susan Sleeman,05-03-23,20
168,"Silver Magi, Books 1-2",D. Levesque,04-25-23,25
169,The Exchange,John Grisham,10-17-23,35
170,The Wedding Day,Sue Watson,05-17-23,25
171,Childrens Understanding and Absorb Quickly,Jaime Torres,04-27-23,4
172,Divinely Different,Jen Jones,05-20-23,20
173,Reading Price Charts Bar by Bar,Al Brooks,04-25-23,25
174,The Bucket List,Rachel Hanna,04-25-23,20
175,The Rising of the Shield Hero Volume 05,Aneko Yusagi,04-18-23,18
176,Cherish,Tracy Wolff,05-30-23,24
177,The Last Honest Man,James Risen,05-09-23,36
178,Serenity in the Storm,Kayleigh McEnany,05-02-23,17
179,Random in Death,J. D. Robb,01-23-24,26
180,The Gambler's Chase,Cap Daniels,04-17-23,20
181,Defying Logic,Nicky James,05-03-23,25
182,Cataclysm,Sarah Bailey,05-12-23,25
183,The Road to Vanador: A Spellmonger Anthology,Terry Mancour,07-25-23,55
184,Gates of Yog-Sothoth,John Corwin,05-03-23,25
185,Making It So,Patrick Stewart,10-03-23,28
186,Disarmed,Mark W. Smith,05-01-23,15
187,Edge of Steele,Susan Sleeman,05-03-23,20
188,"Silver Magi, Books 1-2",D. Levesque,04-25-23,25
189,The Exchange,John Grisham,10-17-23,35
190,The Wedding Day,Sue Watson,05-17-23,25
191,Childrens Understanding and Absorb Quickly,Jaime Torres,04-27-23,4
192,Divinely Different,Jen Jones,05-20-23,20
193,Reading Price Charts Bar by Bar,Al Brooks,04-25-23,25
194,The Bucket List,Rachel Hanna,04-25-23,20
195,The Rising of the Shield Hero Volume 05,Aneko Yusagi,04-18-23,18
196,Cherish,Tracy Wolff,05-30-23,24
197,The Last Honest Man,James Risen,05-09-23,36
198,Serenity in the Storm,Kayleigh McEnany,05-02-23,17
199,Random in Death,J. D. Robb,01-23-24,26
200,The Vanishing of Class 3B,Jackie Kabler,05-11-23,16
201,Murder at the Beauty Pageant,Helena Dixon,05-02-23,20
202,Grace for Purpose Prayers,Hosiah Hope,04-20-23,20
203,On His Majesty's Secret Service,Charlie Higson,05-04-23,49
204,Ripples in Time,Julie McElwain,04-25-23,21
205,44.1644° North,Josh Lanyon,05-08-23,15
206,The Curious Case of the Templeton Swifts,Benedict Brown,04-20-23,49
207,Parentmoon,L.B. Dunbar,04-24-23,20
208,The Shift,Tinx,05-23-23,17
209,Death Dates the Oracle,Kristen Painter,04-14-23,20
210,Dragon Heist,Alexander C. Kane,04-27-23,20
211,The Summer Holiday,S.E. Lynes,05-09-23,25
212,Glucose Goddess Method,Jessie Inchauspe,05-02-23,17
213,Korra Is Live,Chukwufumnaya Anita Obidi,05-08-23,7
214,When Race Trumps Merit,Heather Mac Donald,04-18-23,20
215,So Many Steves,Steve Martin,05-02-23,22
216,Fluke,Adriana Locke,04-19-23,20
217,Ironwood: A Fae Universe Series,Alessa Thorn,05-09-23,54
218,The Ashes and the Star-Cursed King,Carissa Broadbent,08-08-23,45
219,How to Do Magic That Works,Genevieve Davis,05-19-23,7
220,The Vanishing of Class 3B,Jackie Kabler,05-11-23,16
221,Murder at the Beauty Pageant,Helena Dixon,05-02-23,20
222,Grace for Purpose Prayers,Hosiah Hope,04-20-23,20
223,On His Majesty's Secret Service,Charlie Higson,05-04-23,49
224,Ripples in Time,Julie McElwain,04-25-23,21
225,44.1644° North,Josh Lanyon,05-08-23,15
226,The Curious Case of the Templeton Swifts,Benedict Brown,04-20-23,49
227,Parentmoon,L.B. Dunbar,04-24-23,20
228,The Shift,Tinx,05-23-23,17
229,Death Dates the Oracle,Kristen Painter,04-14-23,20
230,Dragon Heist,Alexander C. Kane,04-27-23,20
231,The Summer Holiday,S.E. Lynes,05-09-23,25
232,Glucose Goddess Method,Jessie Inchauspe,05-02-23,17
233,Korra Is Live,Chukwufumnaya Anita Obidi,05-08-23,7
234,When Race Trumps Merit,Heather Mac Donald,04-18-23,20
235,So Many Steves,Steve Martin,05-02-23,22
236,Fluke,Adriana Locke,04-19-23,20
237,Ironwood: A Fae Universe Series,Alessa Thorn,05-09-23,54
238,The Ashes and the Star-Cursed King,Carissa Broadbent,08-08-23,45
239,How to Do Magic That Works,Genevieve Davis,05-19-23,7
240,Storm Watch,C. J. Box,02-28-23,24
241,8 Rules of Love,Jay Shetty,01-31-23,24
242,Meet Me at the Lake,Carley Fortune,05-02-23,28
243,The Exorcism Files,Adam Blai,05-09-23,14
244,Between Commitment and Betrayal,Shain Rose,04-17-23,25
245,No Small Bet,Samantha Christy,05-18-23,20
246,Gauntlet,John G. Doyle,05-10-23,20
247,Is There a Narcissist in Your Life?,Amanda Clymont,05-04-23,15
248,System Collapse,Martha Wells,11-14-23,21
249,Barred Desires,Ashley James,05-10-23,20
250,Body Check,J.J. Arias,04-25-23,21
